policy_id,state,effective_date,annual_premium,vehicle_age
POL100000,PA,2024-06-03,737.15,2
POL100001,NJ,2024-12-20,769.11,3
POL100002,NJ,2025-04-07,1124.38,11
POL100003,FL,2025-01-31,1078.57,2
POL100004,NY,2024-08-03,1908.49,9
POL100005,NY,2024-03-28,1545.07,0
POL100006,PA,2025-03-24,1438.97,14
POL100007,NY,2024-08-31,1575.45,10
POL100008,NY,2024-10-16,1347.35,5
POL100009,NY,2025-02-16,1026.14,4
POL100010,NJ,2025-06-10,833.21,9
POL100011,CT,2024-06-04,3103.01,6
POL100012,FL,2024-11-18,1324.81,6
POL100013,NJ,2024-11-08,982.78,10
POL100014,NJ,2025-01-12,613.87,7
POL100015,FL,2024-01-24,1297.96,13
POL100016,CT,2025-02-22,652.25,3
POL100017,CT,2025-06-08,995.5,13
POL100018,NJ,2024-02-28,818.51,14
POL100019,CT,2025-01-21,1259.56,7
POL100020,PA,2025-03-13,1058.73,12
POL100021,NY,2024-10-22,1044.09,13
POL100022,NY,2025-03-29,1410.87,13
POL100023,FL,2025-01-27,709.23,13
POL100024,NY,2025-03-23,1039.69,6
POL100025,FL,2024-05-02,1676.94,0
POL100026,NY,2024-02-18,768.04,2
POL100027,NY,2024-03-01,740.35,5
POL100028,NJ,2025-05-03,746.19,10
POL100029,NJ,2024-11-11,1043.35,13
POL100030,FL,2024-10-08,1070.89,1
POL100031,NJ,2024-02-10,909.96,0
POL100032,CT,2024-03-08,1374.01,3
POL100033,NY,2024-07-21,1788.82,9
POL100034,PA,2024-10-07,1298.61,2
POL100035,FL,2024-04-30,1688.28,5
POL100036,PA,2024-05-10,1789.25,13
POL100037,FL,2025-04-23,1473.41,12
POL100038,PA,2025-03-10,684.09,11
POL100039,NJ,2024-04-16,1752.86,7
POL100040,FL,2024-11-09,1502.54,8
POL100041,NJ,2024-08-22,1087.44,15
POL100042,NY,2025-05-17,767.39,1
POL100043,FL,2024-11-04,1126.84,15
POL100044,NY,2024-10-02,1064.18,5
POL100045,PA,2024-04-29,1111.98,15
POL100046,FL,2025-05-11,1687.21,1
POL100047,NJ,2024-01-03,1390.0,14
POL100048,PA,2025-02-17,1606.62,0
POL100049,NJ,2025-02-03,1362.04,1
POL100050,PA,2025-02-18,1185.33,4
POL100051,PA,2025-02-15,735.98,14
POL100052,FL,2024-02-17,740.82,6
POL100053,NY,2024-05-03,2266.5,15
POL100054,NY,2025-02-25,726.12,13
POL100055,NJ,2024-06-17,672.26,6
POL100056,NJ,2024-09-10,1139.22,6
POL100057,FL,2024-11-17,1440.45,1
POL100058,NJ,2024-04-08,1110.74,14
POL100059,NY,2024-07-27,981.76,11
POL100060,FL,2024-09-09,2022.73,9
POL100061,NJ,2024-02-25,1783.85,8
POL100062,NY,2024-09-19,1215.27,1
POL100063,NJ,2025-03-18,1193.23,14
POL100064,NJ,2024-12-16,993.12,0
POL100065,CT,2025-01-09,1302.8,2
POL100066,NJ,2024-04-14,1154.74,8
POL100067,NY,2024-02-18,942.98,14
POL100068,FL,2025-05-25,1290.33,1
POL100069,PA,2025-03-05,1170.13,1
POL100070,FL,2024-03-25,996.3,6
POL100071,NY,2024-11-02,1575.02,11
POL100072,NJ,2024-06-28,1211.07,14
POL100073,FL,2024-01-21,1083.32,12
POL100074,NJ,2024-10-11,1118.29,3
POL100075,NJ,2025-01-01,1064.71,5
POL100076,FL,2024-11-11,846.55,1
POL100077,NY,2024-04-02,1309.42,10
POL100078,CT,2024-07-10,724.61,0
POL100079,PA,2024-07-28,848.51,15
POL100080,NJ,2024-10-13,1410.57,5
POL100081,NJ,2024-01-11,690.28,4
POL100082,NJ,2025-06-25,898.37,3
POL100083,CT,2025-06-29,1658.57,4
POL100084,PA,2024-01-11,1250.41,1
POL100085,NJ,2025-02-03,893.58,8
POL100086,NY,2024-03-28,703.26,3
POL100087,PA,2024-03-15,703.08,11
POL100088,PA,2025-05-03,1205.23,8
POL100089,FL,2024-11-09,1012.09,3
POL100090,NJ,2025-02-21,3078.58,9
POL100091,NY,2024-02-06,961.82,14
POL100092,FL,2024-10-18,1111.62,3
POL100093,FL,2024-07-05,1080.84,15
POL100094,PA,2024-01-26,598.87,14
POL100095,NJ,2024-01-13,1143.93,12
POL100096,FL,2025-04-08,795.1,8
POL100097,FL,2024-06-01,698.32,0
POL100098,PA,2025-01-26,1073.99,15
POL100099,PA,2025-06-28,1199.44,15
POL100100,PA,2024-08-31,1461.91,15
POL100101,FL,2025-06-14,1192.12,13
POL100102,NY,2024-08-17,1295.39,15
POL100103,NJ,2024-11-22,972.92,5
POL100104,FL,2024-05-06,865.54,3
POL100105,NY,2024-12-28,894.67,0
POL100106,PA,2024-02-24,1525.54,11
POL100107,NJ,2024-01-17,1790.08,0
POL100108,NY,2024-04-30,1421.7,4
POL100109,PA,2024-02-27,1036.04,8
